# Sentences written to cover lemmas the other files miss (see the build's coverage report).
# Columns: spanish	english	level	topics	note	register	address	regions
El hombre y la mujer entran en la casa.	The man and the woman go into the house.	a1	people
Ese chico es mi primo.	That boy is my cousin.	a1	family
Mi tío y mi tía tienen un bebé.	My uncle and aunt have a baby.	a1	family
La señora del piso de arriba es muy amable.	The lady from the flat upstairs is very kind.	a2	social
El señor pregunta mi nombre.	The gentleman asks my name.	a1	social
Mi esposo cocina los domingos.	My husband cooks on Sundays.	a1	family
Mi esposa trabaja en un hospital.	My wife works at a hospital.	a1	family
Mi novio canta muy mal.	My boyfriend sings very badly.	a1	family
Esa niña es amiga de mi hija.	That girl is a friend of my daughter.	a1	family
Hay mucha gente en la plaza.	There are a lot of people in the square.	a1	city
Me duele la cabeza y el cuello.	My head and neck hurt.	a1	body
Tengo los ojos verdes y el pelo negro.	I have green eyes and black hair.	a1	body
Me lavo la cara y los dientes.	I wash my face and brush my teeth.	a1	daily-routine
Me duele el brazo derecho.	My right arm hurts.	a1	body
Tengo un dedo roto en la mano.	I have a broken finger on my hand.	a2	body
Me duelen las piernas y la espalda.	My legs and back hurt.	a2	body
El médico mira mi oreja.	The doctor looks at my ear.	a1	health
El corazón es un músculo fuerte.	The heart is a strong muscle.	a2	body
Tiene la piel muy blanca.	He has very fair skin.	a2	body
La salud es lo más importante.	Health is the most important thing.	a2	health
Necesito una medicina para el dolor.	I need medicine for the pain.	a1	health
El almuerzo es a la una y la cena a las nueve.	Lunch is at one and dinner at nine.	a1	food-drink
Quiero un jugo de naranja.	I'd like an orange juice.	a1	food-drink
Bebemos vino con la comida.	We drink wine with the meal.	a1	food-drink
Como un huevo y queso en el desayuno.	I eat an egg and cheese for breakfast.	a1	food-drink
La ensalada lleva tomate y lechuga.	The salad has tomato and lettuce.	a1	food-drink
Compro manzanas, plátanos y uvas.	I buy apples, bananas and grapes.	a1	shopping
El pastel de fresa está delicioso.	The strawberry cake is delicious.	a2	food-drink
Pongo azúcar en el café y mantequilla en el pan.	I put sugar in my coffee and butter on my bread.	a1	food-drink
Los niños quieren helado y chocolate.	The children want ice cream and chocolate.	a1	food-drink
Comí una galleta con el té.	I ate a biscuit with my tea.	a2	food-drink
La papa, el ajo y la zanahoria son verduras.	Potato, garlic and carrot are vegetables.	a1	food-drink
El camarero trae el menú y una servilleta.	The waiter brings the menu and a napkin.	a2	restaurant
Dejamos una propina en la mesa.	We leave a tip on the table.	a2	restaurant
Vivo en un apartamento pequeño.	I live in a small apartment.	a1	home
Mi piso tiene dos dormitorios.	My flat has two bedrooms.	a1	home
Comemos en el comedor y descansamos en la sala.	We eat in the dining room and rest in the living room.	a1	home
Hay cuatro sillas alrededor de la mesa.	There are four chairs around the table.	a1	home
El espejo está en la pared.	The mirror is on the wall.	a1	home
La lámpara del armario no funciona.	The wardrobe light doesn't work.	a2	home
Necesito un cuchillo, un tenedor y una cuchara.	I need a knife, a fork and a spoon.	a1	home
Bebo el té en una taza grande.	I drink tea from a big cup.	a1	home
El jabón está en el baño.	The soap is in the bathroom.	a1	home
El suelo de la cocina está limpio.	The kitchen floor is clean.	a1	home
La farmacia está al lado de la iglesia.	The pharmacy is next to the church.	a1	city
Vamos al cine o al teatro esta noche.	We're going to the cinema or the theatre tonight.	a1	city
El taxi llega al aeropuerto en veinte minutos.	The taxi gets to the airport in twenty minutes.	a1	travel
Voy en bicicleta al trabajo.	I cycle to work.	a1	travel
Miro el mapa para encontrar el camino.	I look at the map to find the way.	a1	travel
La tienda está en la esquina, cerca del puente.	The shop is on the corner, near the bridge.	a2	city
Pasamos la frontera por la mañana.	We crossed the border in the morning.	a2	travel
El empleado recibe un sueldo cada mes.	The employee receives a salary every month.	a2	work
Este alumno estudia mucho.	This pupil studies a lot.	a2	school
